"text","ref_ix","hate"
"nigger faggot retard beaner dishwasher time to see if i get ban",-1,2
"The dishwasher time is to see if I get banned.",0,0
"If I get a ban, I'll have to wait for the dishwasher.",0,0
"If I get banned, I'll have to wait for the dishwasher to wash me.",0,0
"The dishwasher time is to see if I get a ban.",0,0
"If I get banned, I'll have to wait for the dishwasher to wash.",0,0
"It's time for the dishwasher to see if I get banned.",0,0
"It's time for the dishwasher to see if I get a ban.",0,0
"The dishwasher time is to see if I get a ban or not.",0,0
"There is a dishwasher time to see if I get banned.",0,0
"The dishwasher time will be used to see if I get banned.",0,0
"It's time for the dishwasher to see if I get a ban or not.",0,0
"The dishwasher time is to see if I get a ban..",0,0
"There is a dishwasher time to see if I get a ban.",0,0
"The dishwasher time will be used to see if I get a ban.",0,0
"The dishwasher time is to see if I get a ban or not?",0,0
"The dishwasher time is to see if I get a ban or not..",0,0
"After a while, the dishwasher time will be used to see if I get banned.",0,0
"beaner will be in the dishwasher for a few hours to see if he gets banned",0,2
"dishwasher time to see if I get banned",0,0
"It's time for the dishwasher to see if I get a ban or not",0,0
"It's time for the dishwasher to see if I get a ban or no ban.",0,0
"There is a dishwasher time to see if I get a ban or not.",0,0
"The dishwasher time will be used to see if I get a ban or not.",0,0
"beaner will be in the dishwasher for a few hours to see if I get banned",0,2
"beaner will be in the dishwasher for a few hours to see if he gets banned.",0,2
"After a while, the dishwasher time will be used to see if I get a ban.",0,0
"So if I get banned, how long will it take for me to clean the dishwasher?",0,0
"The dishwasher time is to see if I get a ban or not. ",0,0
"if i get ban it will take a while to clean the dishwasher",0,0
"So if I get banned, how long will it take for me to wash the dishwasher?",0,0
"There is a dishwasher time to see if I get a ban or not?",0,0
"The dishwasher time will be used to see if I get a ban or not?",0,0
"Can beaner wait a while for the dishwasher to see if he gets banned?",0,2
"Can beaner wait a while for the dishwasher to see if I get banned?",0,2
"that a retarded non argument the bible is also a best seller in communist china",-1,1
"The bible is a best seller in communist China.",35,0
"The bible is a best seller in communist china.",35,0
"The bible is one of the best sellers in communist china.",35,0
"The bible is one of the best sellers in communist China.",35,0
"It's a fact that the bible is a best seller in communist china.",35,0
"It's a fact that the bible is a best seller in communist China.",35,0
"It's a fact that the bible is the best seller in communist china.",35,0
"In communist China, the bible is a best seller.",35,0
"The bible is one of the best sellers in communist china, that is a non argument.",35,0
"The bible is one of the best sellers in communist china, that's right.",35,0
"In communist China, the bible is the best seller.",35,0
"In communist china, the bible is a best seller.",35,0
"That the bible is a best seller in communist china",35,0
"The bible is one of the best sellers in communist china, that's a non argument",35,0
"bible is the best seller in communist china",35,0
"every time a nigger in africa gets pregnant abort it make it a law you can about up to 636 years",-1,2
"You can make it a law if a black person gets pregnant in Africa.",51,1
"Every time a black person gets pregnant in Africa, it makes it a law.",51,1
"You can make it a law if a black person in Africa gets pregnant and then terminates it.",51,1
"You can make it a law if a black person in Africa gets pregnant and then terminates the baby.",51,1
"The law in Africa makes it a law every time a black person gets pregnant.",51,1
"Every time a black person gets pregnant in Africa, it makes it a law that can last up to 626 years.",51,1
"Every time a black person gets pregnant in Africa, it makes it a law that can last up to  626 years.",51,1
"The law in Africa makes it a law every time a black person gets pregnant and has an abortion.",51,1
"It is possible to make a law about it every time a black person in Africa gets pregnant.",51,1
"It is possible to make a law about it every time a black person gets pregnant in Africa.",51,1
"You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital.",51,1
"You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital.",51,1
"The law in Africa makes it a law every time a black person gets pregnant and has a baby.",51,1
"For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years.",51,1
"For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years.",51,1
"For every time a black person in Africa gets pregnant, it makes it a law that can last up to  626 years",51,1
"People in Africa can get an abortion every now and then.",51,0
"You can make it a law if a black person in Africa gets pregnant and then terminates the baby in the hospital..",51,1
"You can make it a law if a black person in Africa gets pregnant and then terminates the baby in a hospital..",51,1
"The law in Africa makes it a law every time a black person gets pregnant and has an abortion..",51,1
"Depending on the situation, you can be able to have an abortion every time a black person gets pregnant in Africa.",51,1
"The law in Africa makes it a law every time a black person gets pregnant and has a baby..",51,1
"For every time a black person in Africa gets pregnant, it makes it a law that can last up to    626 years",51,1
"nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend",-1,2
"Neither the father of the bride nor the father of the groom attended this wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest.",75,0
"Neither the father of the bride nor the father of the groom attended the wedding, as they are both bastard and halfbreed, and both are divorced from a catholic priest.",75,0
"Not a single one of the parents of the bride or of the groom attended the wedding.",75,0
"Not a single one of the fathers of the bride or of the groom attended the wedding.",75,0
"Not a single one of the parents of the bride or of the groom attended the wedding. The groom's father is a divorced catholic, and his mother is a halfbreed.",75,2
"She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend the wedding.",75,0
"One thing that stands out about this wedding is that both fathers of the bride and groom did not attend.",75,0
"One thing that stands out about this wedding is that both fathers of the bride and groom did not show up.",75,0
"She is halfbreed and his father was also divorced so it's no wonder that both of them didn't attend this wedding.",75,0
"what sort of white man or woman would vote for this nigger",-1,2
"What kind of white man or woman would vote for this person?",85,0
"Would a white man or woman vote for a black person?",85,0
"Do you know if a white man or woman would vote for a black person?",85,0
"Would a white man or woman vote for a black person?.",85,0
"How much do you think a white man or woman would vote for a black man?",85,0
"A white man or woman would cast a ballot to support a black person.",85,0
"A white man or woman would cast a ballot for a black person.",85,0
"A white man or woman would cast a ballot for a black person",85,0
"diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate",-1,1
"Diversity is a code word for white genocide immigrants.",94,0
"White genocide immigrants contribute and integrate 3rd world retards and fornicate is a code word for diversity.",94,1
"For white genocide immigrants contribute and integrate 3rd world retards is a code word for diversity.",94,1
"stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off",-1,2
"He never earned a degree and has no iq for work.",98,0
"He never earned a degree and has no iq for a job.",98,0
"He never earned a degree and has no iq for a job like that.",98,0
"A degree position he never earned is given to him by the school and he doesn't have iq for it.",98,0
"He never earned a degree and has no iq for a job like this.",98,0
"His grades and degree position he never earned, he doesn't have iq for work.",98,0
"A degree position he never earned is given to him by the school and he doesn't have iq for that.",98,0
"He never earned a degree and has no iq for a job like that..",98,0
"A degree position he never earned is given to him by the school and he doesn't have iq for it..",98,0
"He never earned a degree and has no iq for a job like this..",98,0
"A degree position he never earned is given to him by the school and he doesn't have iq for it. ",98,0
"It's not a good thing that he never earned a degree or got a job.",98,0
"In order to get a school job degree position he never earned, he has to have good grades.",98,0
"graded to school, he never earned a degree and does not have iq for work.",98,0
"It's not a good thing that he never earned his degree or got a job that was good for him.",98,0
"In order to get a school job degree position he never earned, he has to have an iq for it.",98,0
"In order to get a school job degree position he never earned, he has to have an iq for that position.",98,0
"He never earned a degree and has no iq for a job like that..,",98,0
