CAMPAIGN_ID,8ef33c3264d6_HG
CAMPAIGN_TITLE,"TTV-Translated Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it..",4,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like this..",3,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","A degree position he never earned is given to him by the school and he doesn't have iq for it.",3,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned a degree or got a job.",2,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have good grades.",2,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","graded to school, he never earned a degree and does not have iq for work.",1,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","It's not a good thing that he never earned his degree or got a job that was good for him.",2,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for it.",2,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","In order to get a school job degree position he never earned, he has to have an iq for that position.",2,1
35301862,G6204e21226053,OK,7c167d73,2604:3d09:ad80:10d0:65d5:77e7:4bbb:7463,Canada,"Thursday, 10-Feb-22 09:38:45 EST","Thursday, 10-Feb-22 09:40:55 EST","2 minute(s) and 9 second(s)","stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off","He never earned a degree and has no iq for a job like that..,",2,1
