CAMPAIGN_ID,e178db2ff50e_HG
CAMPAIGN_TITLE,"TTV-Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake.",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","The proof is that the anti q troll are fake.",3,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Proof that the anti q troll are fake.",3,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are fake.",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q troll are fake.",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Yes, there's proof that the anti q troll are not real.",5,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","Evidence shows that the anti q trolls are fake.",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real.",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","There is proof that the anti q troll are fake..",4,2
35735489,G6213711d61453,OK,4a5f135c,95.104.124.242,"United States","Monday, 21-Feb-22 07:15:03 EST","Monday, 21-Feb-22 07:16:16 EST","1 minute(s) and 12 second(s)","hell yeah proof that the anti q trolls here are fake alt right kike dick suckers","It's proof that the anti q troll are not real, they're fake.",4,2
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","says the swamp muzzie who fucks goats","He says the swamp muzzie is a bad person",1,2
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks?",1,4
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.,",1,4
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","says the swamp muzzie who fucks goats","says the swamp muzzie who does goat tricks.",1,4
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","To start caring about their own kind, white people need to stop caring about other people and start caring about themselves.",2,3
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","It's time for white people to start caring about their own kind instead of being so focused on what other people think about them.",1,1
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they forget to care about themselves.",1,1
35969485,G6213711d62a62,OK,7e76db7b,162.216.161.114,Jamaica,"Thursday, 24-Feb-22 15:41:44 EST","Thursday, 24-Feb-22 15:43:44 EST","1 minute(s) and 59 second(s)","white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone","White people need to start caring about their own kind, instead of being so focused on what other people think about them that they don't care about their own kind.",1,1
