CAMPAIGN_ID,a36dfe57fa1a_HG
CAMPAIGN_TITLE,"TTV-Hate Speech Evaluation: Rate"
EMPLOYER_ID,f39a7deb

TASK_ID,SAME_TASK_GROUP_ID,STATUS,USER_ID,IP_ADDRESS,COUNTRY,START_TIME,FINISH_TIME,TIME_TOOK_TO_COMPLETE_TASK,"Original phrase","New phrase","Similarity (1-5)","Hatefulness (1-5)"
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and change.",1,1
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on the corner.",1,1
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street with cigarettes and spare change.",1,1
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it",1,1
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming in the pentagon",2,2
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","The pentagon is like a street with cigarettes and spare change on it..",1,1
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes and spare change.",4,2
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","It is a street that is constantly bumming cigarettes.",4,2
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street",1,2
35622349,G620e32a95441a,OK,93bbab96,91.125.17.41,"United Kingdom","Thursday, 17-Feb-22 06:44:44 EST","Thursday, 17-Feb-22 06:46:19 EST","1 minute(s) and 35 second(s)","the pentagon is like a street nigger constantly bumming cigarettes spare change","cigarettes and spare change are constantly bumming on the street in the pentagon",1,2
35711484,G620e32a955c6c,NOK,abfd0471,23.252.184.194,"United States","Sunday, 20-Feb-22 13:40:43 EST","Sunday, 20-Feb-22 13:45:00 EST","4 minute(s) and 17 second(s)","you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","My bestfriend would have been like yanno who would have spent time with me sharing secrets with me but they would not be there for me when i needed them.",1,1
35711484,G620e32a955c6c,NOK,abfd0471,23.252.184.194,"United States","Sunday, 20-Feb-22 13:40:43 EST","Sunday, 20-Feb-22 13:45:00 EST","4 minute(s) and 17 second(s)","you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","My bestfriend would have been like yanno who would have spent time with me sharing secrets with me but they would not be there for me when I needed them.",1,1
35711484,G620e32a955c6c,NOK,abfd0471,23.252.184.194,"United States","Sunday, 20-Feb-22 13:40:43 EST","Sunday, 20-Feb-22 13:45:00 EST","4 minute(s) and 17 second(s)","you was supposed to be my bestfriend like yanno someone i could vent to spend time with share secrets with type shit someone i can call on and they be there when i need em but bitch you only hmu for one thang fuck youu fuckin faggot","Being my bestfriend would have meant spending time with someone like yanno and sharing secret things with someone like me who can call on them.",1,2
